Unnamed: 0,Cuisine,Dish Name,Ingredients,Calories,Carbs,Fat,Protein,Recipe_url
841, Chinese,Stir-Fried Chicken With Pineapple and Peppers,reduced-salt soy sauce wine vinegar mirin ginger root garlic clove cornstarch oil sesame oil boneless chicken breast cut piece onion cut piece frozen pepper strip chunk pineapple juice almond,238,21,8,20,https://www.allrecipes.com/recipe/77524/stir-fried-chicken-with-pineapple-and-peppers/
842, Chinese,Air Fryer General Tso's Chicken,chicken broth sesame oil soy sauce hoisin sauce cornstarch garlic sriracha,201,9,7,25,https://www.allrecipes.com/recipe/277957/air-fryer-general-tsos-chicken/
843, Chinese,General Tsao's Chicken,cornstarch water garlic ginger root sugar soy sauce wine vinegar chicken broth monosodium glutamate boneless chicken breast half cut bite size piece soy sauce ground pepper egg cornstarch vegetable oil onion chile pepper,842,61,41,57,https://www.allrecipes.com/recipe/8890/general-tsaos-chicken/
844, Chinese,Joe's General Tso's Chicken,vegetable oil egg cornstarch boneless chicken thigh cut piece vegetable oil pepper pod rice vinegar rice wine sugar soy sauce cornstarch onion,865,62,53,38,https://www.allrecipes.com/recipe/197394/joes-general-tsos-chicken/
845, Chinese,Fiery Pepper Chicken,cooking wine salt boneless chicken cut inch cube cornstarch peanut oil garlic ginger root onion chilies cut piece chilies szechuan peppercorn soy sauce cooking wine sugar salt,336,27,20,16,https://www.allrecipes.com/recipe/92739/fiery-pepper-chicken/
846, Chinese,Szechwan Chicken,soy sauce cooking sherry sugar ground ginger cornstarch pepper garlic powder boneless chicken breast cut bite-size piece vegetable oil bell pepper onion cashew,315,16,10,39,https://www.allrecipes.com/recipe/63362/szechwan-chicken/
847, Chinese,Chongqing Chicken,cooking sherry soy sauce cornstarch salt ground pepper boneless chicken thigh cut piece,914,36,64,51,https://www.allrecipes.com/recipe/275592/chongqing-chicken/
848, Chinese,Salt 'n Pepper Chicken,egg spring onion ginger wine soy sauce garlic sugar salt ground pepper boneless chicken breast cut piece sweet potato starch sweet potato starch vegetable oil lettuce leaf salt ground pepper,405,30,19,27,https://www.allrecipes.com/recipe/258678/salt-n-pepper-chicken/
849, Chinese,Sweet and Sour Chicken with Pineapple,boneless chicken thigh cubed shoyu oil flour cornstarch ground pepper sugar water vinegar yellow onion cut chunk pineapple chunk bell pepper cut chunk,318,48,7,15,https://www.allrecipes.com/recipe/282322/sweet-and-sour-chicken-with-pineapple/
850, Chinese,Sesame Chicken,cornstarch rice wine lemon juice soy sauce pepper sauce ginger garlic boneless chicken breast half cut bite size piece sesame seed sesame oil vegetable oil mushroom bell pepper onion inch piece,279,7,14,29,https://www.allrecipes.com/recipe/15352/sesame-chicken/
851, Chinese,Ginger Chicken with Cashews,chicken broth soy sauce cornstarch ground ginger brown sugar cornstarch ground ginger curry powder boneless chicken breast meat cut cube extra-virgin oil sesame oil onion bell pepper sesame seed cashew,387,15,19,38,https://www.allrecipes.com/recipe/174960/ginger-chicken-with-cashews/
852, Chinese,Chicken Singapore Noodles,dry egg noodle peanut oil garlic ginger pepper flake boneless chicken breast half onion carrot water chestnut straw mushroom peanut butter oyster sauce curry powder soy sauce,413,42,18,28,https://www.allrecipes.com/recipe/155363/chicken-singapore-noodles/
